Car_Name,Brand,Model,Vehicle_Age,KM_Driven,No_Of_Owners,Fuel_Type,Transmission_Type,Mileage,Engine_CC,Max_Power,No_Of_Seats,Price,Location
Maruti Celerio,Maruti,Celerio,11,120000.0,3,Petrol,Manual,23.1,998.0,67.04,5,12.899222326086994,bangalore
Ford Ecosport,Ford,Ecosport,8,32706.0,2,Petrol,Manual,17.0,1497.0,121.31,5,13.606024566142413,bangalore
Tata Tiago,Tata,Tiago,8,11949.0,1,Petrol,Manual,23.84,1199.0,84.0,5,13.279368835614243,bangalore
Hyundai Xcent,Hyundai,Xcent,12,17794.0,1,Petrol,Manual,19.1,1197.0,81.86,5,13.043322334563697,bangalore
Maruti SX4 S Cross,Maruti,SX4 S Cross,11,60000.0,1,Diesel,Manual,23.65,1248.0,88.5,5,13.579789490265188,bangalore
Jeep Compass,Jeep,Compass,6,20000.0,1,Diesel,Manual,17.1,1949.5,170.0,5,14.45736497045232,bangalore
Datsun GO,Datsun,GO,9,37772.0,1,Petrol,Manual,20.63,1198.0,67.0,5,12.75130259456002,bangalore
Hyundai Venue,Hyundai,Venue,5,30000.0,1,Petrol,Automatic,18.15,998.0,118.35,5,13.997832948091215,bangalore
Maruti Ciaz,Maruti,Ciaz,8,37000.0,1,Petrol,Automatic,20.28,1462.0,103.25,5,13.774689605110144,bangalore
Tata Tiago,Tata,Tiago,9,11949.0,1,Petrol,Manual,23.84,1199.0,84.0,5,13.279368835614243,bangalore
Maruti Baleno,Maruti,Baleno,8,50000.0,1,Petrol,Manual,21.4,1197.0,83.1,5,13.444448325847754,bangalore
Hyundai Grand i10,Hyundai,Grand i10,7,24887.0,1,Petrol,Automatic,18.9,1197.0,81.86,5,13.432786403100184,bangalore
Honda Jazz,Honda,Jazz,8,23000.0,1,Petrol,Automatic,18.2,1199.0,88.7,5,13.623139877437296,bangalore
Tata Tiago,Tata,Tiago,8,48928.0,1,Petrol,Automatic,23.84,1199.0,83.83,5,13.296318365198623,bangalore
Mahindra XUV500,Mahindra,XUV500,12,108862.0,3,Diesel,Manual,15.1,1949.5,140.0,7,13.444448325847754,bangalore
Jeep Compass,Jeep,Compass,8,80000.0,1,Diesel,Manual,17.1,1949.5,170.0,5,14.115615891155079,bangalore
Hyundai i20,Hyundai,i20,12,65376.0,2,Diesel,Manual,21.27,1396.0,88.76,5,13.163507240119458,bangalore
Tata Nexon,Tata,Nexon,4,10000.0,1,Petrol,Manual,17.33,1199.0,118.35,5,13.820499094499693,bangalore
Honda City,Honda,City,10,67000.0,2,Petrol,Manual,17.8,1497.0,117.3,5,13.560619598657233,bangalore
BMW 5 Series,BMW,5 Series,15,100000.0,3,Diesel,Automatic,18.48,1949.5,177.0,5,14.603968372873895,bangalore
Maruti Swift,Maruti,Swift,10,18083.0,1,Petrol,Manual,22.38,1197.0,88.5,5,13.274227444925158,bangalore
Renault Duster,Renault,Duster,6,30000.0,1,Petrol,Manual,16.42,1498.0,104.55,5,13.901689171636098,bangalore
Tata Tiago,Tata,Tiago,10,57634.0,2,Petrol,Manual,23.84,1199.0,84.0,5,13.032440858057756,bangalore
Mercedes-Benz S-Class,Mercedes-Benz,S-Class,10,50000.0,2,Petrol,Automatic,10.25,1949.5,180.02499999999998,5,15.404745967162468,bangalore
Honda City,Honda,City,11,110000.0,1,Petrol,Manual,17.4,1497.0,117.3,5,13.217675375388819,bangalore
Hyundai Santro,Hyundai,Santro,8,23447.0,1,Petrol,Automatic,20.3,1086.0,68.0,5,13.25339339419516,bangalore
Hyundai Santro Xing,Hyundai,Santro Xing,17,30000.0,2,Lpg,Manual,13.45,1086.0,62.1,5,12.301387370778713,bangalore
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,9,33000.0,1,Petrol,Automatic,15.0,1949.5,180.02499999999998,5,15.237413587806026,bangalore
Mahindra XUV500,Mahindra,XUV500,12,87667.0,2,Diesel,Manual,15.1,1949.5,140.0,7,13.66585094484938,bangalore
Audi A4,Audi,A4,10,40000.0,2,Diesel,Automatic,17.11,1949.5,174.33,5,14.394929533419809,bangalore
Mahindra XUV500,Mahindra,XUV500,12,79012.0,2,Diesel,Manual,15.1,1949.5,140.0,7,13.596109992928898,bangalore
Jeep Compass,Jeep,Compass,5,31344.0,1,Diesel,Manual,17.1,1949.5,167.67,5,14.757469426450479,bangalore
Hyundai Xcent,Hyundai,Xcent,8,50000.0,1,Petrol,Manual,20.14,1197.0,81.86,5,13.420986873572868,bangalore
Maruti Wagon R,Maruti,Wagon R,11,12434.0,1,Petrol,Manual,20.51,998.0,67.04,5,12.762830066509972,bangalore
Maruti Ertiga,Maruti,Ertiga,7,60000.0,2,Petrol,Manual,19.34,1462.0,103.0,7,13.864301674514206,bangalore
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,12000.0,1,Diesel,Automatic,12.6,1949.5,180.02499999999998,5,15.302781062412842,bangalore
Maruti Wagon R,Maruti,Wagon R,11,40987.0,2,Petrol,Manual,20.51,998.0,67.04,5,12.91410843858387,bangalore
BMW 5 Series,BMW,5 Series,6,18157.0,1,Petrol,Automatic,15.56,1949.5,180.02499999999998,5,15.417924056871259,bangalore
Toyota Fortuner,Toyota,Fortuner,15,120000.0,3,Diesel,Manual,11.5,1949.5,171.0,7,13.910821646859095,bangalore
Renault Duster,Renault,Duster,6,40000.0,2,Diesel,Automatic,19.87,1461.0,108.5,5,13.910821646859095,bangalore
Hyundai i20,Hyundai,i20,10,89667.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.29463628184505,bangalore
Hyundai i20,Hyundai,i20,9,120000.0,1,Diesel,Manual,22.54,1396.0,88.73,5,13.47302165746721,bangalore
Maruti Baleno,Maruti,Baleno,9,56997.0,1,Petrol,Manual,21.4,1197.0,83.1,5,13.447342679685468,bangalore
Hyundai Elantra,Hyundai,Elantra,13,120000.0,1,Petrol,Manual,16.3,1797.0,147.5,5,13.384729180332174,bangalore
Audi A6,Audi,A6,11,59000.0,1,Diesel,Automatic,18.53,1949.5,180.02499999999998,5,14.552674623940995,bangalore
Maruti Alto 800,Maruti,Alto 800,5,18835.0,1,Petrol,Manual,22.05,796.0,47.33,5,12.926350926565435,bangalore
Mahindra Scorpio,Mahindra,Scorpio,16,120000.0,2,Diesel,Manual,12.05,1949.5,120.0,7,13.384729180332174,bangalore
Mini 3 DOOR,Mini,3 DOOR,10,40000.0,1,Petrol,Automatic,17.33,1949.5,180.02499999999998,4,15.11706396273788,bangalore
Tata Tiago,Tata,Tiago,7,60932.0,1,Petrol,Manual,23.84,1199.0,83.83,5,13.321215875492413,bangalore
